coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2017-12-17,19560.21730093,20142.12177478,19015.71968539,19329.73030988,314854.46684347,19583.75286418,19575.32234207
Bitcoin,2017-12-16,17835.47589778,19740.76831812,17682.31608696,19587.37490631,311896.89555257,18461.237307599997,18490.57774272
Bitcoin,2017-12-15,16703.20565688,18295.91235371,16702.44073824,17826.8812593,405286.47749836,17759.81587881,17737.97000151
Bitcoin,2017-12-14,16507.62870946,17003.97714018,16340.66415554,16700.33021573,295016.2360126,16633.19550212,16634.92286876
Bitcoin,2017-12-13,17092.64099731,17256.57867729,16066.53541999,16505.53903055,387489.33887205,16786.55784136,16788.55471021
Bitcoin,2017-12-12,16968.48900444,17443.6809699,16574.17432782,17056.47508865,381969.5733402,17010.86741442,17015.19089009
Bitcoin,2017-12-11,15395.15159612,17524.52895019,15395.15159612,16899.93251777,514432.37132921,16785.85586599,16805.25649777
Bitcoin,2017-12-10,15314.06264337,16003.09364941,13026.13902613,15347.84775233,748357.56146983,14651.01513252,14634.30099415
Bitcoin,2017-12-09,16836.33776666,17075.2016224,13430.69782199,15236.69764591,554248.32052021,15776.91709473,15508.82804747
Bitcoin,2017-12-08,18652.14766105,19201.61522249,14760.08795186,16775.66661757,1501101.82799433,16597.09482372,16697.6440743
Bitcoin,2017-12-07,14419.18770524,18637.87899415,14313.34396773,18637.87899415,1121254.27258995,16035.21550771,15847.785709200001
Bitcoin,2017-12-06,12067.25584462,14499.04196161,12067.25584462,14443.70534513,579984.17703879,13157.30260671,13078.51375959
Bitcoin,2017-12-05,11724.66458127,12109.05304603,11685.99150632,12050.63108213,308103.28398584,11900.87869023,11903.07492977
Bitcoin,2017-12-04,11399.21954219,11705.55477217,11147.51800281,11705.55477217,334147.83041866,11471.55564578,11476.87916135
Bitcoin,2017-12-03,11123.16814999,11916.04025766,10852.75448033,11397.10507324,587452.79814907,11426.62835154,11438.81988064
Bitcoin,2017-12-02,11038.02925682,11338.12982902,10940.67537961,11128.48224762,354191.48097891,11143.22019326,11142.18793414
Bitcoin,2017-12-01,10297.89668551,11080.97522652,9753.75910247,11049.96675116,560691.08034496,10382.25421628,10418.76235494
Bitcoin,2017-11-30,10012.23838146,11003.25658498,9363.61525713,10360.52356475,824107.55167045,10181.09108032,10174.75715318
Bitcoin,2017-11-29,10254.09997609,11603.57556365,9344.57248611,9925.74225809,1169983.38373913,10695.82015336,10769.39643463
Bitcoin,2017-11-28,9856.05063852,10277.38292471,9795.28366208,10249.97157964,418718.69525952,10087.27034945,10086.25863164
Bitcoin,2017-11-27,9353.85569537,9861.5899218,9353.85569537,9846.20476479,435937.75479666,9714.12769599,9713.30039532
Bitcoin,2017-11-26,8798.75138825,9504.69646054,8798.75138825,9335.73873562,448536.06895989,9112.73422023,9096.37009344
Bitcoin,2017-11-25,8274.93155206,8812.28430713,8249.79464924,8812.28430713,302246.85362071,8507.17564784,8507.49801841
Bitcoin,2017-11-24,8083.3235272,8442.75976967,8005.10639145,8284.05304898,323615.93440585,8236.32516623,8231.52315823
Bitcoin,2017-11-23,8296.66869522,8319.44436793,8111.01147177,8111.01147177,249860.26206457,8237.43246064,8237.79032633
Bitcoin,2017-11-22,8141.667962,8343.95266773,8136.502902300001,8298.67307376,248662.38527082,8247.70316519,8253.36784966
Bitcoin,2017-11-21,8278.38353065,8366.50659812,7909.60770082,8140.54647807,428155.86037265,8211.87235026,8211.88993577
Bitcoin,2017-11-20,8029.29655943,8323.99263119,7948.47095039,8272.99185494,279535.00137075,8124.44105404,8117.52396059
Bitcoin,2017-11-19,7811.84100681,8070.60240412,7729.79188055,8025.79523055,245455.04113120004,7853.85954068,7850.46718834
Bitcoin,2017-11-18,7735.85325999,7867.38865841,7496.14508018,7816.3648579,336819.26031857,7722.1173449,7728.94282684
Bitcoin,2017-11-17,7783.18354026,8029.28563789,7581.54883559,7747.80471727,485646.75558306,7863.82410489,7863.0835109
Bitcoin,2017-11-16,7366.06736298,7798.82326605,7224.42762805,7783.5783579,506668.17281302,7414.48921552,7410.0621378000005
Bitcoin,2017-11-15,6688.83410233,7385.26437051,6688.83410233,7346.66878553,476703.55011044,7116.87262285,7095.47988224
Bitcoin,2017-11-14,6584.93893334,6771.38190483,6506.11106308,6673.89848864,345577.4429255,6651.43678804,6647.12949487
Bitcoin,2017-11-13,5903.497154,6803.5778657,5882.16899915,6572.29188439,785432.05792732,6352.60093078,6380.51878708
Bitcoin,2017-11-12,6367.579514999999,6458.05171679,5551.79708077,5932.3503373,1119912.87182696,6109.47402343,6112.27939953
Bitcoin,2017-11-11,6603.61863526,6877.76161074,6227.34852311,6380.79045773,559742.44779537,6573.31832843,6567.13021837
Bitcoin,2017-11-10,7215.44212058,7351.42176548,6447.20968237,6612.45786366,660076.32538422,6946.43739756,6998.18939152
Bitcoin,2017-11-09,7495.03287884,7495.03287884,7157.51798061,7185.26435098,375352.76852375,7310.67817936,7308.69935355
Bitcoin,2017-11-08,7184.10752013,7746.80812642,7153.060913699999,7515.24306917,535537.09952132,7404.54300356,7407.69772916
Bitcoin,2017-11-07,7083.57616752,7304.07849705,7077.97497962,7188.33987474,300139.15452385,7185.868163699999,7184.85335262
Bitcoin,2017-11-06,7428.22437226,7484.17722983,7068.64240188,7068.64240188,429172.78634646,7320.4242913,7327.189846699999
Bitcoin,2017-11-05,7410.71385864,7630.22333016,7337.13963072,7428.64535621,304576.44821216,7498.51303537,7499.32093463
Bitcoin,2017-11-04,7242.86934016,7467.93625745,7042.36545663,7411.37584938,326055.25645764,7274.3923742,7284.95290523
Bitcoin,2017-11-03,7112.07110898,7492.826124600001,7009.10855264,7267.01255493,454388.64009776,7286.63948619,7291.96912544
Bitcoin,2017-11-02,6791.90338436,7463.13484212,6791.90338436,7107.87884303,695101.07211469,7052.51619863,7037.88548405
Bitcoin,2017-11-01,6445.45369684,6781.46319746,6379.00740888,6775.77284769,370534.1090521,6531.75490524,6530.39488829
Bitcoin,2017-10-31,6103.99449935,6458.56111466,6076.49429543,6458.56111466,328186.02430692,6235.75033707,6223.75683357
Bitcoin,2017-10-30,6112.95948095,6176.47418559,6009.74684361,6111.50779606,256195.63274006,6092.8467592,6092.51241524
Bitcoin,2017-10-29,5730.99723219,6210.32998482,5712.39169957,6140.55560734,368650.55433783,5895.40948343,5866.35340886
Bitcoin,2017-10-28,5778.24824821,5876.21577198,5676.55475385,5728.54313514,193502.55576722,5762.41689686,5759.69363041
Bitcoin,2017-10-27,5889.24968647,5968.30229738,5704.46318699,5765.88271952,275524.87745354,5829.43583795,5827.12125013
Bitcoin,2017-10-26,5721.61283826,5977.91069467,5697.80843464,5885.86418577,312991.08942189,5829.81132698,5828.81813832
Bitcoin,2017-10-25,5536.82685706,5731.04423597,5391.49466051,5727.60786736,339819.07746841,5549.7629995,5552.17985994
Bitcoin,2017-10-24,5936.86049825,5936.86049825,5489.54974968,5533.41828995,467944.63227908,5672.53442694,5672.98915216
Bitcoin,2017-10-23,6010.13119651,6073.08859398,5731.92155208,5934.38773287,397661.49419689,5909.95810447,5912.31400583
Bitcoin,2017-10-22,6045.26705298,6095.85306194,5800.74994785,6015.08811607,344491.7155325,5949.9797779,5950.98816263
Bitcoin,2017-10-21,6003.6515227,6197.65310098,5978.09762432,6045.50281636,331794.41726052,6112.86412623,6111.45599971
Bitcoin,2017-10-20,5696.17509609,6051.70677952,5612.63613259,6013.68170365,386560.11717114,5822.34899573,5787.75571298
Bitcoin,2017-10-19,5590.75189363,5730.37906418,5537.25105972,5695.73212537,257883.87354358,5657.01448504,5662.02377347
Bitcoin,2017-10-18,5626.79120329,5626.79120329,5135.01551565,5586.52471728,446192.95272182,5425.58809903,5429.47035701
Bitcoin,2017-10-17,5741.61285277,5751.76734259,5557.83982364,5626.6348947999995,219887.35876587,5641.49484048,5641.46584263
Bitcoin,2017-10-16,5707.18641571,5764.69045988,5587.586635399999,5740.90394989,230183.31192198,5673.70624654,5676.20820717
Bitcoin,2017-10-15,5779.26129956,5839.568085100001,5459.21241324,5690.17675762,340458.11822113,5640.69930189,5645.43919048
Bitcoin,2017-10-14,5658.38341929,5775.68415316,5608.45839378,5768.5050781,445701.05267907,5686.36874378,5691.30204926
Bitcoin,2017-10-13,5468.00817365,5871.16707953,5439.01978896,5659.04597626,656226.91609058,5665.72894161,5662.26598334
Bitcoin,2017-10-12,4830.70181001,5441.84990074,4827.47909131,5441.84990074,478479.96392837,5175.83377453,5123.24343666
Bitcoin,2017-10-11,4832.43978529,4928.09104499,4797.43496392,4829.12807538,235138.30329244,4856.6345945,4856.56246011
Bitcoin,2017-10-10,4765.67226804,4916.27663769,4765.67226804,4823.88256581,346009.11170791,4829.1395671,4829.17074425
Bitcoin,2017-10-09,4584.08821965,4851.02629342,4539.89358456,4766.09056986,302068.90386228,4646.19113264,4636.767046600001
Bitcoin,2017-10-08,4411.04976037,4589.03925719,4402.27600801,4583.81304834,204785.75298603,4488.18755161,4477.66016334
Bitcoin,2017-10-07,4365.60189315,4431.52822997,4321.93563657,4417.93344067,135197.25473587,4352.19915259,4351.22774162
Bitcoin,2017-10-06,4328.27459754,4393.24191516,4305.91090128,4365.38780249,186092.8599803,4354.71920878,4354.76438096
Bitcoin,2017-10-05,4234.57626824,4364.59185785,4159.08277712,4329.49202355,216704.7127511,4269.91704756,4266.88078752
Bitcoin,2017-10-04,4321.42199145,4345.28270895,4211.64897154,4231.41648836,172571.39083182,4272.06177344,4269.18204401
Bitcoin,2017-10-03,4395.27184569,4418.28410139,4248.69090219,4320.19353822,217265.45708018,4318.9200759,4320.91889162
Bitcoin,2017-10-02,4364.10413509,4444.58173553,4359.20492781,4396.55180901,208895.05242636,4397.93700625,4398.14310192
Bitcoin,2017-10-01,4324.65338034,4365.3968291,4253.39812532,4363.12604393,189364.61314288,4300.83603162,4301.30812418
Bitcoin,2017-09-30,4139.89756022,4331.74684102,4135.95652562,4323.17383749,200736.66296881,4249.34961811,4251.53832099
Bitcoin,2017-09-29,4147.55447083,4183.88303228,4009.89211173,4139.5299422,236650.69279805,4119.12434889,4120.51885914
Bitcoin,2017-09-28,4169.62865299,4230.19046525,4093.59458863,4148.31676042,254784.09099612,4158.99495671,4158.2622487
Bitcoin,2017-09-27,3855.00060379,4184.14713509,3851.47207513,4163.93673903,275877.52682664,4009.81043969,3995.60607715
Bitcoin,2017-09-26,3894.17204107,3924.33646556,3838.86360898,3858.97573972,176046.28029899,3890.93300246,3890.36219113
Bitcoin,2017-09-25,3666.19216996,3916.57209802,3666.19216996,3892.4114725,248678.92477086,3812.7569759000003,3797.85564548
